2019-10-17 19:45:53 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  6,25; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 967.0; Tile: ROAD
2019-10-17 19:45:53 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  7,25; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 966.0; Tile: ROAD
2019-10-17 19:45:53 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  8,25; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 965.0; Tile: ROAD
2019-10-17 19:45:53 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  9,25; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 964.0; Tile: ROAD
2019-10-17 19:45:53 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 10,25; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 963.0; Tile: ROAD
2019-10-17 19:45:53 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 11,25; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 962.0; Tile: ROAD
2019-10-17 19:45:53 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 12,25; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 961.0; Tile: ROAD
2019-10-17 19:45:53 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 13,25; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 960.0; Tile: ROAD
2019-10-17 19:45:53 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 14,25; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 959.0; Tile: ROAD
2019-10-17 19:45:53 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 14,26; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 958.0; Tile: ROAD
2019-10-17 19:45:53 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 14,27; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 957.0; Tile: ROAD
2019-10-17 19:45:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 13,27; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 956.0; Tile: ROAD
2019-10-17 19:45:53 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 12,27; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 955.0; Tile: ROAD
2019-10-17 19:45:53 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 12,28; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 954.0; Tile: ROAD
2019-10-17 19:45:54 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 12,29; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 953.0; Tile: ROAD
2019-10-17 19:45:54 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 12,30; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 952.0; Tile: ROAD
2019-10-17 19:45:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 11,30; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 951.0; Tile: ROAD
2019-10-17 19:45:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 10,30; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 950.0; Tile: ROAD
2019-10-17 19:45:54 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 10,29; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 949.0; Tile: ROAD
2019-10-17 19:45:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  9,29; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 948.0; Tile: ROAD
2019-10-17 19:45:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  8,29; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 947.0; Tile: ROAD
2019-10-17 19:45:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  7,29; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 946.0; Tile: ROAD
2019-10-17 19:45:54 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  7,28; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 945.0; Tile: ROAD
2019-10-17 19:45:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  6,28; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 944.0; Tile: ROAD
2019-10-17 19:45:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  5,28; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 943.0; Tile: ROAD
2019-10-17 19:45:54 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  5,28; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 943.0; Tile: ROAD
2019-10-17 19:45:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  6,28; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 942.0; Tile: ROAD
2019-10-17 19:45:54 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  7,28; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 941.0; Tile: ROAD
2019-10-17 19:45:54 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  7,29; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 940.0; Tile: ROAD
